,mod,wt,km_10,km_100,gmm_10,gmm_100
112640,1,2,9,24,9,39
104822,1,5,3,45,8,45
112642,1,2,2,36,1,97
112643,1,2,4,13,1,29
112644,1,1,0,54,3,36
104826,2,216,3,74,8,45
112646,1,2,2,89,1,97
104824,2,67,2,76,1,87
99289,2,159,6,29,3,47
99281,0,35,3,84,8,84
99280,0,218,2,17,8,45
99283,2,219,2,36,1,2
99282,0,3,2,76,1,97
99285,0,220,2,36,1,2
99284,0,12,2,36,0,87
99287,0,33,2,36,1,2
99286,1,3,2,1,1,87
99757,0,22,2,61,1,86
99756,1,1,3,18,8,92
99755,2,13,2,76,1,97
99754,0,35,3,19,8,94
99753,0,22,2,76,1,97
99752,2,1,2,40,1,38
99751,3,222,2,1,1,87
99750,3,222,2,1,1,87
99759,2,40,2,84,1,44
99758,2,13,2,49,1,44
95663,2,204,2,39,1,53
95662,1,5,2,76,1,97
95661,2,14,2,76,1,97
95660,0,36,3,74,8,45
95667,7,5,2,76,1,97
95666,2,2,6,50,8,31
95665,0,1,0,22,3,14
95664,2,22,3,18,1,84
216734,2,1,3,93,8,72
95669,3,28,4,66,0,6
95668,2,223,2,49,1,87
216733,1,83,3,60,8,58
109428,1,5,2,84,1,46
109429,1,2,2,76,1,97
109424,1,5,3,18,8,66
109425,1,1,3,61,1,86
109426,0,12,9,27,9,14
109427,2,14,9,27,9,14
109420,2,1,2,84,1,46
109421,2,14,6,1,1,27
109422,1,1,9,75,9,26
109423,1,5,0,4,7,38
105882,1,2,0,3,3,19
105883,2,68,2,49,1,26
105880,1,2,2,76,1,97
105881,2,1,3,32,6,98
105886,2,7,9,75,9,62
105887,0,1,2,76,1,97
105888,2,1,8,31,4,4
105889,2,1,2,49,8,44
92572,2,760,3,55,0,99
92573,2,206,2,17,1,44
92570,2,53,3,77,5,63
92571,2,240,2,76,1,97
92576,2,348,3,33,8,78
107034,1,5,9,75,9,26
92574,2,313,2,49,3,44
107036,0,21,9,83,8,0
107039,0,229,2,36,3,2
107038,1,2,8,84,1,46
92578,2,13,3,87,0,46
92579,2,122,6,95,3,23
90996,2,42,9,63,9,64
102482,0,131,2,49,3,44
102481,0,3,3,39,9,53
102480,2,7,2,76,1,97
102487,0,10,3,55,2,30
102486,2,1,0,95,3,23
102485,0,52,2,36,1,2
102484,0,21,2,49,1,2
1447601,2,13,2,61,1,86
92396,2,230,3,61,1,86
92397,2,231,9,11,9,76
92394,0,12,2,21,1,25
92395,2,80,2,49,1,44
92392,1,3,3,39,8,53
92393,2,7,2,46,1,91
92390,126,2264,2,49,1,44
92391,3,232,0,40,8,38
92398,0,233,2,84,5,46
92399,3,234,2,84,1,46
93629,2,7,3,84,1,46
93628,2,14,2,63,1,64
93625,0,22,2,36,1,2
93624,2,235,0,40,3,38
93627,3,236,0,3,3,19
