,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000
86265,126,2264,7,42,117,7,8,484
86264,2,188,7,42,117,7,81,484
86263,2,189,7,80,829,4,36,270
86262,0,3,7,0,529,4,36,454
86261,2,189,9,47,205,7,30,986
86260,3,1311,4,12,17,6,40,700
103934,2,13,9,47,134,7,30,537
103935,0,10,8,82,42,0,87,205
103936,0,11,3,71,817,2,95,649
103937,2,2,0,74,756,7,20,219
103930,2,11,9,96,620,9,68,498
103931,0,12,5,37,134,7,45,537
103932,0,1,9,92,746,8,30,823
103933,1,5,6,3,311,9,27,312
103938,0,190,9,14,205,8,20,986
103939,0,5,9,47,864,7,30,46
86843,0,52,8,82,146,0,87,98
86842,3,1,1,56,763,8,13,480
86841,2,13,3,88,887,2,18,929
86840,3,165,9,47,517,7,30,583
86847,22,191,9,14,382,1,20,378
86846,3,2,3,58,938,2,42,412
86845,2,128,7,48,949,4,81,886
86844,0,192,0,0,205,4,36,986
86849,1,5,4,72,744,6,92,664
86848,126,2264,4,12,230,6,40,996
821432,2,1,5,14,570,7,10,205
821431,2,1,7,74,706,1,23,372
109662,0,1,1,26,772,1,22,423
109663,1,5,9,20,748,7,70,913
109660,102,1,3,88,942,2,0,514
109661,1,5,7,11,748,4,34,913
87574,126,2264,9,55,3,7,80,416
109667,1,59,7,6,155,2,57,353
109664,0,1,7,27,98,7,75,122
109665,1,1,1,59,291,8,70,489
1728,1,1,9,64,221,8,30,17
1729,2,2,4,71,718,0,95,297
1726,2,1,7,11,742,4,34,683
1727,2,1,1,91,877,8,44,980
1724,2,1,1,56,898,7,48,568
1725,1,2,7,93,323,6,61,687
1722,2,1,4,12,130,6,40,968
1723,1,2,5,37,134,7,45,537
2218550,126,2264,5,23,955,7,91,981
94913,0,47,3,88,564,2,18,621
94910,0,156,1,43,910,8,48,584
