abbrev,name,count,jurisdiction,citation_abbrev,start_date,end_date,in_use,last_modified,horizontal,vertical
ncwb,United States Bankruptcy Court W.D. North Carolina,84,Federal Bankruptcy,Bankr. W.D.N.C.,Unknown,Unknown,Yes,2013-08-15T09:47,NC,other
ndb,United States Bankruptcy Court D. North Dakota,297,Federal Bankruptcy,Bankr. D.N.D.,Unknown,Unknown,Yes,2014-11-24T09:06,ND,other
ohnb,United States Bankruptcy Court N.D. Ohio,1780,Federal Bankruptcy,Bankr. N.D. Ohio,Unknown,Unknown,Yes,2013-08-14T17:20,OH,other
ohsb,United States Bankruptcy Court S.D. Ohio,1631,Federal Bankruptcy,Bankr. S.D. Ohio,Unknown,Unknown,Yes,2013-08-14T17:43,OH,other
okeb,United States Bankruptcy Court E.D. Oklahoma,98,Federal Bankruptcy,Bankr. E.D. Okla.,Unknown,Unknown,Yes,2013-08-15T09:53,OK,other
oknb,United States Bankruptcy Court N.D. Oklahoma,288,Federal Bankruptcy,Bankr. N.D. Okla,Unknown,Unknown,Yes,2013-08-14T18:12,OK,other
okwb,United States Bankruptcy Court W.D. Oklahoma,268,Federal Bankruptcy,Bankr. W.D. Okla.,Unknown,Unknown,Yes,2013-08-14T22:18,OK,other
orb,United States Bankruptcy Court D. Oregon,384,Federal Bankruptcy,Bankr. D. Or.,Unknown,Unknown,Yes,2013-08-14T18:13,OR,other
paeb,United States Bankruptcy Court E.D. Pennsylvania,2094,Federal Bankruptcy,Bankr. E.D. Pa.,Unknown,Unknown,Yes,2013-08-14T17:25,PA,other
pamb,United States Bankruptcy Court M.D. Pennsylvania,427,Federal Bankruptcy,Bankr. M.D. Penn.,Unknown,Unknown,Yes,2013-08-14T17:40,PA,other
