,names,dates,url
167,Young Women's Christian Home v. French,1903-01-05,https://www.courtlistener.com/opinion/95741/young-womens-christian-home-v-french/
168,Michigan Dept. of State Police v. Sitz,1990-06-14,https://www.courtlistener.com/opinion/112459/michigan-dept-of-state-police-v-sitz/
169,Woodstock Iron Co. v. Richmond & Danville Extension Co.,1889-03-05,https://www.courtlistener.com/opinion/92439/woodstock-iron-co-v-richmond-danville-extension-co/
170,Aldrich v. Aldrich,1964-06-22,https://www.courtlistener.com/opinion/106887/aldrich-v-aldrich/
171,Nickerson v. Nickerson,1888-04-09,https://www.courtlistener.com/opinion/92294/nickerson-v-nickerson/
172,Schweiker v. Wilson,1981-03-04,https://www.courtlistener.com/opinion/110423/schweiker-v-wilson/
173,Chesapeake & Ohio R. Co. v. Carnahan,1916-05-22,https://www.courtlistener.com/opinion/98737/chesapeake-ohio-r-co-v-carnahan/
174,FTC v. Henry Broch & Co.,1960-06-06,https://www.courtlistener.com/opinion/106062/ftc-v-henry-broch-co/
175,United States v. One Hundred and Twelve Casks of Sugar,1834-03-17,https://www.courtlistener.com/opinion/85877/united-states-v-one-hundred-and-twelve-casks-of-sugar/
176,"The Bank of the United States v. Jacob White, David Cummins, and Robert Bennefil",1834-03-14,https://www.courtlistener.com/opinion/85875/the-bank-of-the-united-states-v-jacob-white-david-cummins-and-robert/
177,Insurance Co. v. Wilkinson,1872-03-25,https://www.courtlistener.com/opinion/88454/insurance-co-v-wilkinson/
178,Ex Parte McNiel,1872-03-25,https://www.courtlistener.com/opinion/88455/ex-parte-mcniel/
179,Pennsylvania College Cases,1872-02-12,https://www.courtlistener.com/opinion/88453/pennsylvania-college-cases/
180,Lionberger v. Rouse,1870-04-18,https://www.courtlistener.com/opinion/88180/lionberger-v-rouse/
181,The Northern Belle,1870-04-11,https://www.courtlistener.com/opinion/88189/the-northern-belle/
182,Jennings v. Carson,1807-02-11,https://www.courtlistener.com/opinion/84835/jennings-v-carson/
183,Van Ness v. the Bank of the United States,1839-01-22,https://www.courtlistener.com/opinion/86068/van-ness-v-the-bank-of-the-united-states/
184,Armour & Co. v. Wantock,1944-12-04,https://www.courtlistener.com/opinion/104033/armour-co-v-wantock/
185,Fuller v. Yentzer,1877-03-18,https://www.courtlistener.com/opinion/89467/fuller-v-yentzer/
186,Gorman v. Washington Univ.,1942-05-25,https://www.courtlistener.com/opinion/103659/gorman-v-washington-univ/
187,Hurst v. Hollingsworth,1876-11-20,https://www.courtlistener.com/opinion/89444/hurst-v-hollingsworth/
188,Peik v. Chicago & North Western R. Co.,1877-03-18,https://www.courtlistener.com/opinion/89448/peik-v-chicago-north-western-r-co/
189,"Quality King Distributors, Inc. v. L'Anza Research Int'l, Inc.",1998-03-09,https://www.courtlistener.com/opinion/118182/quality-king-distributors-inc-v-lanza-research-intl-inc/
190,"Pittsburgh, C., C. & St. LR Co. v. Backus",1894-05-26,https://www.courtlistener.com/opinion/93949/pittsburgh-c-c-st-lr-co-v-backus/
191,Hunter v. Fairfax's,1796-08-06,https://www.courtlistener.com/opinion/2347065/hunter-v-fairfaxs/
192,Sangamon Valley Corp. v. United States,1958-10-20,https://www.courtlistener.com/opinion/105776/sangamon-valley-corp-v-united-states/
193,Wirl Television Corp. v. United States,1958-10-20,https://www.courtlistener.com/opinion/105777/wirl-television-corp-v-united-states/
194,Farncomb v. City and County of Denver,1920-03-01,https://www.courtlistener.com/opinion/99521/farncomb-v-city-and-county-of-denver/
195,Goldsmith v. George G. Prendergast Constr. Co.,1920-03-01,https://www.courtlistener.com/opinion/99522/goldsmith-v-george-g-prendergast-constr-co/
196,Erie R. Co. v. Stone,1917-06-04,https://www.courtlistener.com/opinion/98972/erie-r-co-v-stone/
197,Booth v. United States,1934-02-05,https://www.courtlistener.com/opinion/102209/booth-v-united-states/
198,Jones v. Board of Ed. of Tenn.,1970-03-30,https://www.courtlistener.com/opinion/108069/jones-v-board-of-ed-of-tenn/
199,Smith v. ICC,1917-11-05,https://www.courtlistener.com/opinion/1525749/smith-v-icc/
200,Sturges v. Carter,1885-05-04,https://www.courtlistener.com/opinion/91398/sturges-v-carter/
201,Clawson v. United States,1885-05-04,https://www.courtlistener.com/opinion/91394/clawson-v-united-states/
202,Gilbert v. United States,1962-06-25,https://www.courtlistener.com/opinion/106450/gilbert-v-united-states/
203,United States v. Powell,1975-12-09,https://www.courtlistener.com/opinion/109335/united-states-v-powell/
204,"Limelight Networks, Inc. v. Akamai Technologies, Inc.",2014-06-02,https://www.courtlistener.com/opinion/2676592/limelight-networks-inc-v-akamai-technologies-inc/
