,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
88027,1,1,1,79,451,3,71,268,5,70,145
88026,3,92,1,79,451,8,49,443,1,20,55
88025,0,1,1,79,913,3,87,137,1,78,273
88024,2,13,0,70,45,4,40,192,4,67,48
88029,2,27,1,13,298,7,59,533,4,44,580
88028,3,810,1,79,451,3,49,268,1,37,498
100016,3,28,4,99,164,4,46,942,4,32,979
100017,3,28,4,99,653,4,17,136,4,7,816
100014,2,29,1,37,388,4,87,120,4,44,785
100015,0,3,7,30,213,6,93,615,0,56,24
100012,0,1,7,79,230,7,49,16,1,37,305
100013,0,21,2,1,634,3,99,297,1,37,498
100010,1,1,0,39,251,4,71,255,1,69,520
100011,0,10,3,84,414,7,98,186,0,0,938
100018,1,30,0,79,448,8,49,443,2,85,234
100019,3,31,1,27,683,7,59,533,4,44,188
95799,0,33,3,89,246,7,69,421,9,64,694
95798,2,34,1,79,713,4,54,392,1,50,157
95797,1,3,1,27,800,4,97,533,9,64,351
95796,0,3,1,37,13,7,87,204,9,64,694
95793,0,35,6,48,575,4,9,534,7,4,141
95792,0,36,1,37,125,4,59,394,4,67,251
95791,126,2264,1,1,549,3,99,769,1,43,341
95790,0,12,1,79,3,9,49,16,1,37,305
