,km_10,km_100
90005,3,6
90006,8,91
90007,3,91
90000,3,91
90001,3,24
90002,4,24
90003,6,24
121145,3,52
121147,3,24
121146,7,86
121149,7,86
121148,7,86
2804672,9,19
2804673,8,40
2804676,3,56
2804677,8,46
2804674,4,20
2804675,8,11
94787,3,67
94786,6,10
94785,3,52
94784,7,35
94783,4,38
94782,4,38
94781,2,98
94780,7,86
94789,8,86
94788,6,66
106928,6,10
106929,3,27
91669,7,86
91668,7,86
91667,7,86
91666,8,46
91665,9,19
91664,4,20
91663,7,3
91662,8,86
91661,8,44
91660,3,67
89815,7,7
89814,7,64
89817,4,83
89816,3,72
89811,6,10
89810,7,7
89813,6,66
89812,9,19
89819,7,7
89818,7,86
97845,8,52
97844,7,35
97847,7,81
97846,6,10
97841,7,7
97840,3,38
97843,8,52
97842,8,76
97849,7,28
97848,7,86
87756,5,67
87757,7,94
92318,7,94
92319,3,2
92317,7,35
92314,9,30
92315,6,10
92312,8,86
92313,7,86
92310,6,66
92311,3,23
104867,5,16
104388,6,10
104389,7,86
104382,7,7
104383,3,62
104380,4,63
104381,7,86
104386,7,7
104387,3,12
104384,7,64
104385,6,10
87750,0,94
104864,6,10
104863,8,59
104862,3,26
104368,6,66
104861,3,36
3217423,2,24
104860,7,35
106977,6,10
106976,6,66
87752,6,10
105381,9,30
96011,5,55
105383,4,38
105382,7,35
105385,3,15
105384,4,20
105387,3,70
105386,7,7
105389,3,52
105388,9,19
104868,6,10
96013,6,10
96012,8,59
96015,5,38
91633,8,12
87753,3,69
96014,3,24
96017,7,86
96016,7,90
106212,6,10
106213,3,32
