,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
88025,4,62,454,3,44,734,1,72,463
88024,4,12,694,1,89,679,1,90,34
88029,4,89,321,0,39,318,3,36,889
88028,4,74,928,9,40,119,3,29,116
100016,4,12,673,9,40,498,3,29,405
100017,4,12,385,9,44,34,1,1,556
100014,4,84,160,7,5,118,3,36,747
100015,4,31,823,2,3,233,1,66,335
100012,4,12,162,6,7,529,1,1,556
100013,5,44,60,9,98,85,1,8,168
100010,4,12,265,1,89,872,1,90,34
100011,4,21,511,5,62,933,3,29,530
100018,4,12,806,7,11,313,1,1,462
100019,4,89,575,6,39,608,3,29,59
95799,5,36,193,2,29,776,1,32,379
95798,4,76,187,3,28,900,3,29,741
95797,4,89,386,9,39,110,3,29,23
95796,4,12,123,7,91,793,1,44,188
95793,9,6,483,7,63,19,1,9,386
95792,4,84,928,9,96,52,3,36,747
95791,5,44,352,9,9,207,2,27,201
95790,4,12,162,6,32,529,3,29,24
90310,4,85,547,6,76,794,1,11,431
90311,4,8,140,9,61,629,1,47,502
90312,4,50,394,2,95,376,1,47,533
90313,3,96,14,9,9,315,1,9,29
90314,4,97,710,1,41,361,1,13,84
90315,4,85,652,3,29,409,3,29,281
90316,4,62,454,1,99,146,1,9,739
90317,4,97,318,5,3,435,1,24,239
90318,0,94,863,5,26,490,1,24,547
90319,1,55,911,7,4,403,3,29,927
94541,4,32,287,1,41,206,1,13,714
94540,4,1,944,7,11,84,1,85,944
94543,4,68,422,6,54,252,3,36,889
94542,9,82,493,1,19,938,1,14,358
